text,category
Ambulance helpline not responding.,Health and Family Welfare Department
Ambulance not arriving on time.,Health and Family Welfare Department
Ambulance service delayed during emergency.,Health and Family Welfare Department
Area cleanliness is very poor.,Municipal Sanitation Department
Area is unhygienic due to improper cleaning.,Municipal Sanitation Department
Area not cleaned despite repeated complaints.,Municipal Sanitation Department
Assault complaint requiring immediate police action.,Police Department
Assault incident reported near market area.,Police Department
Broken electric wire hanging on the road.,Electricity Distribution Department
Broken garbage bin near residential area.,Solid Waste Management Department
Broken road after recent rain creating waterlogging.,Public Works Department
Broken road near school causing safety issues.,Public Works Department
Broken sewer pipeline needs immediate repair.,Drainage and Sewerage Department
Broken street light causing inconvenience to residents.,Street Lighting Department
Broken street light wire hanging dangerously.,Street Lighting Department
Burglary attempt noticed in nearby house.,Police Department
Burning smell coming from an electrical panel.,Fire and Emergency Services
Burning smell coming from electric box.,Electricity Distribution Department
Burning wires causing sparks and smoke.,Fire and Emergency Services
Chain snatching attempt reported by resident.,Police Department
Chain snatching reported on the main road.,Police Department
Collection staff not following waste segregation rules.,Solid Waste Management Department
Collection staff refuses to pick mixed waste.,Solid Waste Management Department
Construction barriers left on the road.,Public Works Department
Contaminated water causing health issues.,Water Supply Department
Continuous traffic congestion due to road damage.,Public Works Department
Continuous water leakage from the main pipeline.,Water Supply Department
Continuous water wastage due to broken pipe.,Water Supply Department
Damaged culvert causing road collapse.,Public Works Department
Damaged footpath making it difficult for pedestrians.,Public Works Department
Deep cracks have developed on the main road.,Public Works Department
Delay in ambulance arrival during night hours.,Health and Family Welfare Department
Delay in emergency medical attention.,Health and Family Welfare Department
Delay in issuing medical reports.,Health and Family Welfare Department
Delay in medical treatment at government hospital.,Health and Family Welfare Department
Delay in vaccination services for children.,Health and Family Welfare Department
Dim street light reducing visibility at night.,Street Lighting Department
Dirty public place not cleaned for long time.,Municipal Sanitation Department
Dirty road conditions due to garbage.,Municipal Sanitation Department
Dirty surroundings due to lack of cleaning.,Municipal Sanitation Department
Dirty water coming out from the drainage.,Drainage and Sewerage Department
Dirty water is coming from the tap.,Water Supply Department
Disturbance reported near public event.,Police Department
Doctor not attending patients on time.,Health and Family Welfare Department
Domestic violence complaint needs police attention.,Police Department
Drain cover missing on the road,Public Works Department
Drainage blockage causing mosquito breeding.,Drainage and Sewerage Department
Drainage blockage creating foul smell.,Drainage and Sewerage Department
Drainage blockage leading to waterlogging.,Drainage and Sewerage Department
Drainage cleaning not done before monsoon.,Drainage and Sewerage Department
Drainage cleaning work not done properly.,Drainage and Sewerage Department
Drainage line choked due to waste.,Drainage and Sewerage Department
Drainage line collapsed near main road.,Drainage and Sewerage Department
Drainage overflow affecting nearby shops.,Drainage and Sewerage Department
Drainage overflow causing road damage.,Drainage and Sewerage Department
Drainage overflow near school area.,Drainage and Sewerage Department
Drainage system not cleaned for a long time.,Drainage and Sewerage Department
Drainage water entering residential houses.,Drainage and Sewerage Department
Drainage water flowing into footpath.,Drainage and Sewerage Department
Drainage water flowing into open plots.,Drainage and Sewerage Department
Drainage water is overflowing on the road.,Drainage and Sewerage Department
Drainage water overflowing during peak hours.,Drainage and Sewerage Department
Drainage water stagnant near bus stop.,Drainage and Sewerage Department
Drainage water stagnating for days.,Drainage and Sewerage Department
Drinking water not available in government quarters.,Water Supply Department
Drinking water pipe is broken and water is flowing on the road.,Water Supply Department
Drinking water shortage in our society.,Water Supply Department
Drug-related activity suspected in locality.,Police Department
Drunk people creating nuisance on the street.,Police Department
Electric cable snapped after strong winds.,Electricity Distribution Department
Electric connection exposed and unsafe.,Electricity Distribution Department
Electric junction box open and dangerous.,Electricity Distribution Department
Electric meter is damaged and not working.,Electricity Distribution Department
Electric pole base is damaged.,Electricity Distribution Department
Electric pole leaning and may fall anytime.,Electricity Distribution Department
Electric pole light short circuit reported.,Electricity Distribution Department
Electric pole sparks during rain.,Electricity Distribution Department
Electric wire fallen on the footpath.,Electricity Distribution Department
Electrical fire reported in residential building.,Fire and Emergency Services
Electricity connection loose causing sparks.,Electricity Distribution Department
Electricity outage affecting hospital nearby.,Electricity Distribution Department
Electricity supply interrupted without any notice.,Electricity Distribution Department
Electricity supply restored briefly then goes off again.,Electricity Distribution Department
Emergency evacuation needed due to fire risk.,Fire and Emergency Services
Emergency fire assistance required immediately.,Fire and Emergency Services
Emergency fire assistance required immediately.,Fire and Emergency Services
Emergency fire control needed immediately.,Fire and Emergency Services
Emergency fire service required at construction site.,Fire and Emergency Services
Emergency power failure needs immediate attention.,Electricity Distribution Department
Emergency rescue needed due to fire accident.,Fire and Emergency Services
Emergency services not responding properly at hospital.,Health and Family Welfare Department
Emergency water leakage needs immediate repair.,Water Supply Department
Entire street remains dark after sunset.,Street Lighting Department
Eve teasing incident reported near college area.,Police Department
Fire alarm ringing continuously in the apartment.,Fire and Emergency Services
Fire broke out due to short circuit in office building.,Fire and Emergency Services
Fire broke out due to short circuit in office building.,Fire and Emergency Services
Fire broke out in a factory unit.,Fire and Emergency Services
Fire broke out in a nearby building and needs immediate help.,Fire and Emergency Services
Fire caused by overheating electrical equipment.,Fire and Emergency Services
Fire caused due to fireworks explosion.,Fire and Emergency Services
Fire emergency reported in hospital premises.,Fire and Emergency Services
Fire hydrant not working during emergency.,Fire and Emergency Services
Fire incident reported in a warehouse nearby.,Fire and Emergency Services
Fire incident reported in government building.,Fire and Emergency Services
Fire incident reported in parked vehicle.,Fire and Emergency Services
Fire incident reported in school building.,Fire and Emergency Services
Fire outbreak reported near fuel storage area.,Fire and Emergency Services
Fire reported in electrical substation.,Fire and Emergency Services
Fire reported in transformer area.,Fire and Emergency Services
Fire spotted in garbage dump near houses.,Fire and Emergency Services
